"short id","full name","party","state","state","distinct","canonical URL","url1","url2"
"ronlewis","Lewis, Ron","R"," Kentucky","KY",2,"http://house.gov/ronlewis/","gov.house.www/ronlewis",
"linder","Linder, John","R"," Georgia","GA",7,"http://house.gov/linder/","gov.house.linder","gov.house.www/linder"
"lipinski","Lipinski, Bill","D"," Illinois","IL",3,"http://house.gov/lipinski/","gov.house.www/lipinski",
"lobiondo","LoBiondo, Frank A.","R"," New Jersey","NJ",2,"http://www.house.gov/lobiondo/","gov.house.www/lobiondo",
"zoelofgren","Lofgren, Zoe","D"," California","CA",16,"http://zoelofgren.house.gov/","gov.house.zoelofgren",
"lowey","Lowey, Nita M.","D"," New York","NY",18,"http://house.gov/lowey/","gov.house.www/lowey",
"lucas","Lucas, Frank","R"," Oklahoma","OK",3,"http://house.gov/lucas/","gov.house.www/lucas",
"kenlucas","Lucas, Ken","R"," Kentucky","KY",4,"http://house.gov/kenlucas/",,
"lynch","Lynch, Stephen F.","D"," Massachusetts","MA",9,"http://house.gov/lynch/","gov.house.www/lynch",
"majette","Majette, Denise L.","D"," Georgia","GA",4,"http://www.house.gov/majette/","gov.house.www/majette",
"maloney","Maloney, Carolyn B.","D"," New York","NY",14,"http://house.gov/maloney/",,
"manzullo","Manzullo, Don","R"," Illinois","IL",16,"http://house.gov/manzullo/","gov.house.manzullo","gov.house.manzullo/NR"
"markey","Markey, Edward J.","D"," Massachusetts","MA",7,"http://house.gov/markey/","gov.house.www/markey",
"jimmarshall","Marshall, Jim","D"," Louisiana","GA",3,"http://jimmarshall.house.gov/","gov.house.jimmarshall",
"matheson","Matheson, Jim","D"," Washington","UT",2,"http://matheson.house.gov/","gov.house.www/matheson","gov.house.matheson"
"matsui","Matsui, Robert T.","D"," California","CA",5,"http://house.gov/matsui/","gov.house.www/matsui",
"carolynmccarthy","McCarthy, Carolyn","D"," New York","NY",4,"http://house.gov/carolynmccarthy/","gov.house.www/carolynmccarthy",
"karenmccarthy","McCarthy, Karen","D"," Missouri","MO",5,"http://house.gov/karenmccarthy/","gov.house.www/karenmccarthy",
"mccotter","McCotter, Thaddeus G.","R"," Michigan","MI",11,"http://www.house.gov/mccotter/",,
"mccrery","McCrery, Jim","R"," Georgia","LA",4,"http://house.gov/mccrery/","gov.house.www/mccrery",
"mcdermott","McDermott, Jim","D"," Utah","WA",7,"http://house.gov/mcdermott/","gov.house.www/mcdermott",
"mcgovern","McGovern, James P.","D"," Massachusetts","MA",3,"http://house.gov/mcgovern/","gov.house.www/mcgovern",
"mchugh","McHugh, John M.","R"," New York","NY",23,"http://house.gov/mchugh/","gov.house.www/mchugh","gov.house.mchugh"
"mcinnis","McInnis, Scott","R"," Colorado","CO",3,"http://house.gov/mcinnis/","gov.house.www/mcinnis",
"mcintyre","McIntyre, Mike","D"," North Carolina","NC",7,"http://house.gov/mcintyre/","gov.house.www/mcintyre",
